STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/19/2000,0.4,0,0,68,60
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/20/2000,0,0,0,82,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/21/2000,0,0,0,83,65
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/22/2000,0.05,0,0,81,65
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/23/2000,0.85,0,0,69,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/24/2000,0.43,0,0,72,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/25/2000,0,0,0,86,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/26/2000,1.75,0,0,77,52
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/27/2000,0,0,0,69,52
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/28/2000,0,0,0,66,54
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/29/2000,0,0,0,72,55
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/30/2000,0,0,0,73,56
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/1/2000,0,0,0,71,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/2/2000,0,0,0,69,57
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/3/2000,0,0,0,75,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/4/2000,0,0,0,65,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/5/2000,0,0,0,83,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/6/2000,0,0,0,83,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/7/2000,0,0,0,84,55
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/8/2000,0,0,0,68,46
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/9/2000,0,0,0,47,35
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/10/2000,0,0,0,54,36
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/11/2000,0,0,0,62,38
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/12/2000,0,0,0,77,38
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/13/2000,0,0,0,71,38
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/14/2000,0,0,0,75,49
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",10/15/2000,0,0,0,78,48
